Cargo,Empresa,Local,Link
00112/2024 - Bolsista Pesquisador - Otimização,FIESC,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=323324ad300c6dd2&bb=uUNBVpLg36WEwRe433GXLP3r9_w0NF9fAYMgow_MTwuF_oRorI4QhiiyopKS9gryl2uE_fg_VpxujUWQrnYAVrA6guUUuZbVw1v40da_R3ax2bf1lD2Tl2FMD65od9lz&xkcb=SoDg67M39wut4gQGsp0AbzkdCdPP&fccid=98367ac53b609963&vjs=3
Desenvolvedor Full Stack APIS,Source2IT,Anunciada há 17 dias,https://br.indeed.com/rc/clk?jk=c07884e5c17c6d64&bb=uUNBVpLg36WEwRe433GXLMeoI6ecrE0yvzMKbqCUkLCoSHeErx8OeJQ7LKDyf4YT-kaRrdTCO9SDLCcS0TlG6drBBB9xvFu6_N36U0Ts4aW8PNEp83qTNEfSUM-3wLvX&xkcb=SoBu67M39wut4gQGsp0HbzkdCdPP&fccid=ada84a54e84462f5&vjs=3
"Customer Solutions Engineer, gTech Professional Services",Google,,https://br.indeed.com/rc/clk?jk=029d9ae36d15f21b&bb=uUNBVpLg36WEwRe433GXLAHLN-ul4d_4MRBG2CGqzV_EyAD86u5ZGeI8eCtirhTEwHFhqNxRXbBTVHi0v-_kXkSgwcvmoEPboGkazPPLurVjQTisRcZdRQ%3D%3D&xkcb=SoDa67M39wut4gQGsp0GbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
Senior Back-End Engineer - Remote,Conviso Application Security,Home Office,https://br.indeed.com/rc/clk?jk=94a6cc5d73336b1d&bb=uUNBVpLg36WEwRe433GXLAwVfXVXA79Qo_JzjLOQbwwCsbuk2v_-w1yIh7CZVgv7v_Fn1UKQ2NAyIPk397vd8_W9RryYsdOdKg81pj7kHmTClrKEiJk92jMZozP467h6&xkcb=SoBH67M39wut4gQGsp0FbzkdCdPP&fccid=63d1b930768c8e42&vjs=3
"Go Engineer, MLOps (Remote, BRA)",CrowdStrike,Home Office,https://br.indeed.com/rc/clk?jk=1c0d44bf8aad5c99&bb=tukkfxcShm3ql1c2H5P8dRtapJV_TAWAHuPX9YqqHxOjaJX3DUmVx-vd3rn4PiD0md8MnS92ZqOZMH7B3Z3vBPUQ_gVJK9-MxHe1X_NcR1YUrXxhtn-ya5R2X0uUiE02&xkcb=SoAf67M39wusLNgNDj0LbzkdCdPP&fccid=64e4cdd7435d8c42&vjs=3
Analista de Monitoramento,DNA HUMAN RESOURCES,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=b96d3e9ab0461df2&bb=tukkfxcShm3ql1c2H5P8db9xQuos6f3dVkXUc3oWaleJFH-kScsW7LKSw9cW-fQjSTQEydzVikBCOMHtoMHqd53ZjzFx9L-jAsw8pBzJVuLLzAbLIpeeBETdCZkHbn87&xkcb=SoCr67M39wusLNgNDj0KbzkdCdPP&fccid=910194749da0a8a3&vjs=3
Analista de Dados | Transportes,Grupo Henry Schein Brasil,Recém publicada,https://br.indeed.com/rc/clk?jk=fc6ede97fcc3464c&bb=tukkfxcShm3ql1c2H5P8dduPP2AnSw73Vkeoz9KG34AvykoIS3eK0m1mbAL1E_83TWhSnx54z9NSnjqkP3M5JH1VyeijRYVN4DG7AuJ-2AWhATMRMJL0K4FnVmQGEl1u&xkcb=SoA267M39wusLNgNDj0JbzkdCdPP&fccid=0d45dc4fe60ffe27&vjs=3
QA Automação - Pleno,VENHA SER #SANGUELARANJA,Home Office,https://br.indeed.com/rc/clk?jk=6da1d26bd230696c&bb=tukkfxcShm3ql1c2H5P8dT3cGKYxwJS2cV7ZYgvdRwsvpjNzicLc3HXwyb82cB85SjThmaUkhQ5f83-YijzpTXFGH6rvSYiwyI3v-HA8DNthK_WigsprJ75yy49Ii4EuLaack7vXA84%3D&xkcb=SoCC67M39wusLNgNDj0IbzkdCdPP&fccid=6a5f5525abe44fdf&vjs=3
Analista de Dados,ALGAR,Anunciada há 10 dias,https://br.indeed.com/rc/clk?jk=001b981ca5219af9&bb=tukkfxcShm3ql1c2H5P8dbh-516SGuU3bYCr0ByMavad9ppbQdxXhZUa4b_wONe6kRhX2RDaMLYAEIENUFuj0aakhnOe0AiCrH4VlTJBi6PSx_U3z9EQaXn1Yse2Iu1s&xkcb=SoAM67M39wusLNgNDj0PbzkdCdPP&fccid=c4f3e748e56a639a&vjs=3
Pessoa Desenvolvedora em Python (Pleno | Sênior),Cappta,Home Office,https://br.indeed.com/rc/clk?jk=d16d9112a732e1c0&bb=tukkfxcShm3ql1c2H5P8dVwR_7_LdZVl68g-_RI2E2pkT0WbTpgn4KdvS21m5EK8F-ntG6m7RGo3YgtX8u0cnG32huqyZJ9YyLtCm7CxQoWSSKAV8XSHfeVt3d4RmUWr&xkcb=SoC467M39wusLNgNDj0ObzkdCdPP&fccid=a25130066aae51ea&vjs=3
Analista de Business Intelligence Pleno | Produto E-Commerce,Riachuelo,,https://br.indeed.com/rc/clk?jk=4a8fc0d5407017c5&bb=tukkfxcShm3ql1c2H5P8dQVNR4WD7PaC-Eozfy6HO_DTmLNFaq1YERTvf_2J7EOkGAXyDj7Aciuxcddu1MEqwATMBqQQxOCbYTWQIWz9CT_x1hQeeJeDoF1V83aXsMr-&xkcb=SoAl67M39wusLNgNDj0NbzkdCdPP&fccid=91677252111e9a57&vjs=3
Profissional de Desenvolvimento Fullstack (Pleno / Sênior),Radix Engenharia e Software,Home Office,https://br.indeed.com/rc/clk?jk=67a12570266b00a0&bb=tukkfxcShm3ql1c2H5P8dQe1tmqZRlh1MDcReVQmg4ppO9V5hgOS1fAGGson0px-bYyDq9Bez2r1b_d_OHmFxJNcmGt7M27LGEUGzw2wapv1Ei2vQskTISZIsfqpFNVW&xkcb=SoCR67M39wusLNgNDj0MbzkdCdPP&fccid=833e800ebc6f3f29&vjs=3
Back End Engineer (Java),Ambush Consulting,Home Office,https://br.indeed.com/rc/clk?jk=ea118a1b95e8cb13&bb=tukkfxcShm3ql1c2H5P8deh2jmv5GpPdIYZLdEbk90g_TmUnrCZzb8zx-Ajm9Okf3FVfx8YzEiXlNQtKspXoSONYtWmnsLUR78Mx-bwiWuFG99NWT3_XQ_XtwjA5VoYe&xkcb=SoB467M39wusLNgNDj0DbzkdCdPP&fccid=bfe2f3163d5f7b9a&vjs=3
Desenvolvedor Python autêntico - Trabalho Remoto,BairesDev,,https://br.indeed.com/rc/clk?jk=ee1521d742d94bba&bb=tukkfxcShm3ql1c2H5P8dd_I_YaBEILG0wpX7OL-hIpLir775Ibk0xmqp_nH9oI8-C3Xo2TvwJFavkgW0QB9OZLUhE7MLgqG_4BJY1zzA7R81c1noHX9ig0uH1OOitiN&xkcb=SoDM67M39wusLNgNDj0CbzkdCdPP&fccid=29707109e86166e5&vjs=3
Técnico de Suporte e Monitoramento,Grupo NTSEC,,https://br.indeed.com/rc/clk?jk=85d3b01765684519&bb=tukkfxcShm3ql1c2H5P8dZ7iXXXuFi5G7nq9JxZt4IaTvSDNxPYMzIwPdQRJBXPpQWBcUPir8x4g0WjlsA70oA1n4mXiUcYbEPdFVXsntLRxX4S_Mp7tpSu666luD2M9&xkcb=SoBR67M39wusLNgNDj0BbzkdCdPP&fccid=5af2d71d67b7f435&vjs=3
ANALISTA DE DADOS,RH - Oportunidades,Anunciada há 13 dias,https://br.indeed.com/rc/clk?jk=d8f9746e2cb60df4&bb=tukkfxcShm3ql1c2H5P8dakBSTgrGEl-sEPFpCGDunf7jF6p13w96cUrtXg3cu33BKLVVQb86Vc9CuUA-thXQpaAumdh3GKomgOH1hitykeC8XANexgRt3LxD_JaufZJ&xkcb=SoDl67M39wusLNgNDj0AbzkdCdPP&fccid=2522c21014ff4b01&vjs=3
Engenheiro de Dados Júnior,Cadastra,Home Office,https://br.indeed.com/rc/clk?jk=1722e1bc9935e261&bb=tukkfxcShm3ql1c2H5P8dQe1tmqZRlh153NRnoGcSALszExZug5qpRolVcmWMXfPxmuYDLiS_hUTlCR43NelCtjQjqIZeE_FRzOxv13x3lQ4plAVUMzSieryjJq9aWHc&xkcb=SoBr67M39wusLNgNDj0HbzkdCdPP&fccid=599957f551c7eff1&vjs=3
Cientista de Dados - Especialista,Accenture,,https://br.indeed.com/rc/clk?jk=5709b24448c5725e&bb=tukkfxcShm3ql1c2H5P8deVsXivuIp_sjYMJZqYsQeRI2dYU2EnDe8uCTljlTSQjAklYd9Wg5j3A-Zk1aFSE5035vc8B-phWH0sesRv7jHHQgieas7ytLg%3D%3D&xkcb=SoDf67M39wusLNgNDj0GbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
Analista de renda fixa e fundos jr,Netvagas,Home Office,https://br.indeed.com/rc/clk?jk=c0c37efecebb7ffe&bb=tukkfxcShm3ql1c2H5P8dbi86K_WWrseNDOUELAEql_0x4krWJ0MhAU9IDWmTANft-r3ymB07a_ArU0pHVD4UIBc8shSAhIzP0M3eQo1rzmF2oMlC1eOSiPBzwM58OeE&xkcb=SoBC67M39wusLNgNDj0FbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Analista DevOps,Getronics,Home Office,https://br.indeed.com/rc/clk?jk=e2851d7de23345ad&bb=Ggtr4mEgDWlrbKa-t_PLF_0lcjwyKXnIqqQH1VighyT0LoQJCgZlo_GAGhc49NaS3SCj2oWWfmjWEdvTBpV8JR67dQsZTpfajTEjnOLPIBGz61z4QXGq4Q%3D%3D&xkcb=SoBC67M39wuq0DRkRB0LbzkdCdPP&fccid=06bd806195b7346b&vjs=3
Estágio de Análise de Performance,Cinemark,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=6ea77f6a551fa1df&bb=Ggtr4mEgDWlrbKa-t_PLF5jx4_NMWil9UbkERU48uJmC7msidljJ5f0-OO2qIG7M5BZCIRVzJTFS9-4DzpeM8VjCNrLPzUpQ_Q5EBe0rFs1J4wkdX-FtITVNK7A6ENUg&xkcb=SoD267M39wuq0DRkRB0KbzkdCdPP&fccid=d96c6845d1817ce8&vjs=3
Desenvolvedor de Firmware,KRYPTUS,,https://br.indeed.com/rc/clk?jk=77af469dbfa16811&bb=Ggtr4mEgDWlrbKa-t_PLF99-iO9IT_mgRXCQgFQQ0WHQg4Cg0RcpSXenY_XE0tXKsL0tZ1kryGyRjoWA-9mpoI1yGHg8AGGYFWxZnlaBr-BohRqwUqrr6CB_OGRzwuDa&xkcb=SoBr67M39wuq0DRkRB0JbzkdCdPP&fccid=55d431a88bf4eb2b&vjs=3
Jr Software Engineer,Trimble,Anunciada há 11 dias,https://br.indeed.com/rc/clk?jk=ee6119ce4107b00e&bb=Ggtr4mEgDWlrbKa-t_PLFyhYhDSYWYFLP7Lse9YmT9z1Q8KHw2qQUbuZoEnr0_J6RGlTBEk-tbwsotpcPwL42xMUfmJWTF5-oSEnnA8gJ3nOHm6bw6MEOA%3D%3D&xkcb=SoDf67M39wuq0DRkRB0IbzkdCdPP&fccid=41ffc18dec1f58bf&vjs=3
00112/2024 - Bolsista Pesquisador - Otimização,FIESC,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=323324ad300c6dd2&bb=Ggtr4mEgDWlrbKa-t_PLF_UjaXX3zr05YZ8ujS7TSUNJqKxsVtIfY7xj2EiWSe7uJLyUU1mcvFC-P1URjtUWMRMhNHzCce-MOnrGLz9tKLeN1zkbRysNsBxRXczaDHEx&xkcb=SoBR67M39wuq0DRkRB0PbzkdCdPP&fccid=98367ac53b609963&vjs=3
Pessoa Desenvolvedora II,ANDRITZ AG,,https://br.indeed.com/rc/clk?jk=ee719de556be546a&bb=Ggtr4mEgDWlrbKa-t_PLF0Nd21cLjYpkAdLmAumzcQ3EJqxrvJ5xzxTrXGUkaZExMRW_AiK1WUhUf2c5U3LstuUWj-nCD1yVcHjNeEU9XhFO4sBJraK4sPJfxonPcWSh&xkcb=SoDl67M39wuq0DRkRB0ObzkdCdPP&fccid=31dc3ff412a8dc30&vjs=3
[Monks] Technology Analyst em Data Science,Monks,Home Office,https://br.indeed.com/rc/clk?jk=9f64831b960bad92&bb=Ggtr4mEgDWlrbKa-t_PLF1coi6GHM76fEhNi8bY-mU3auxVzi4H7FeghIsWNRBI9e3DgpP9xqJ6ahyyJq8179xRMqd1Eu7zLz46IQI46V_KG04mN1YHNRC2hwyInrrOl&xkcb=SoB467M39wuq0DRkRB0NbzkdCdPP&fccid=a1b1d51bb95ac55c&vjs=3
15914-Analista Desenvolvedor Web,GLOBAL HITSS,,https://br.indeed.com/rc/clk?jk=9d204e7ca0767eb0&bb=Ggtr4mEgDWlrbKa-t_PLF8dI9o028Sjkrzf68Z6bGxjK6iwms6TyCriB5JzuI4hHOAuZYevtjXl89T1Dk2Tox2rr5WnDxWKot_Zhedfi3y0zLal3_CXCeRntm5nsy7d6&xkcb=SoDM67M39wuq0DRkRB0MbzkdCdPP&fccid=c24117b06f969a80&vjs=3
Cientista de Dados - Vaga afirmativa para Mulheres e/ou Pessoas Pretas/Pardas e/ou PCD,Ambev Tech,Home Office,https://br.indeed.com/rc/clk?jk=1e06507de6d2b150&bb=Ggtr4mEgDWlrbKa-t_PLF3jgr7hmfeDcX6LbWskEG4YYg-hc0MLzhwmLhWxpmvms8QJiZQpUwmVx4VmbNnSadvTHBRf4tH0kczpvM_yyf5ZqyI-77V3-rIU62AJqn0gw&xkcb=SoAl67M39wuq0DRkRB0DbzkdCdPP&fccid=659e51f3cf9c394c&vjs=3
Senior Data Scientist,Xometry Inc,,https://br.indeed.com/rc/clk?jk=c1404dc12fda7be5&bb=Ggtr4mEgDWlrbKa-t_PLF_k9StEdUZgL00hmOEpA-1rW26xvciT9LJ8jPPgrLQ4IyyC1GIU5pB9pR4UekC1qPluu5RgwTtMJyiVKCCbh0NtgdG7P_sTXcd7lCpYf6t9f&xkcb=SoCR67M39wuq0DRkRB0CbzkdCdPP&fccid=5b7c51fa0a062333&vjs=3
Especialista de Planejamento I,AMERICANAS S.A.,Anunciada há 11 dias,https://br.indeed.com/rc/clk?jk=ae557d62ad6dfe38&bb=Ggtr4mEgDWlrbKa-t_PLFxJemShxV-p3gybQmSFDhWGF0hhjajaWDnH_FU7j4Ol07tt8SqR9WISrPlJ6HlXAcVG26nDHmR3XeV1cxRjfwMyefBVyrW5XhDOlEaVoxmCz&xkcb=SoAM67M39wuq0DRkRB0BbzkdCdPP&fccid=cb13eb514f07d230&vjs=3
Coordenador Analytics Engineering,Natura,Anunciada há 7 dias,https://br.indeed.com/rc/clk?jk=2ac09951aa63f6a4&bb=Ggtr4mEgDWlrbKa-t_PLF9gCy3HQLO3ZuG1UmFMfnap72WwvA_vdFhn7hjTsyhTFEGcPBjj3b_Tm3QiWS7Cw02vXCK07jnPeh6SMw2_ikudtfXLSotEfZQ%3D%3D&xkcb=SoC467M39wuq0DRkRB0AbzkdCdPP&fccid=ae69f730b1f98d1d&vjs=3
"Pessoa Desenvolvedora Front-end (G1, Globo.com, Gshow, Globoplay, GE, Cartola)",Globo,Home Office,https://br.indeed.com/rc/clk?jk=84725f6efcd102f9&bb=Ggtr4mEgDWlrbKa-t_PLF7W1PmHj5xyEJxNWeOX2oQvYx1fwd1PTtjjPhvP7MYdm6mEsySPY3Xo-9K2ZzdN9RK1_kdnfB8Gzq_mWC3fHM-sqSO6GNfG11DYPaDI1J_WJ&xkcb=SoA267M39wuq0DRkRB0HbzkdCdPP&fccid=d9e365fac605529a&vjs=3
Estagiário(a) de Estatística - Maxpar,Grupo Autoglass Estágio,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=c407d74b80ed6eaf&bb=Ggtr4mEgDWlrbKa-t_PLF17ihlp2cOCqItlG-U7UGycUO3DYFnoOf6mNGqvAGn-T9SdXz1c7XVk4Yk0tsD4W2V-gOAcEuo8-oRXQ7bVQsEbMX3Sbp6R1WeAf8yUHkEFQ&xkcb=SoCC67M39wuq0DRkRB0GbzkdCdPP&fccid=ad832b206d33f569&vjs=3
Controlador(a) de EHS,Caterpillar,,https://br.indeed.com/rc/clk?jk=de06f980bcb2203f&bb=Ggtr4mEgDWlrbKa-t_PLF0fr-JBhl60SBuHuiVsDU9sPocgV2E-etOLJu_4WMRUOgCEa3AK6Tznri7A-0aGvcY84VAKflDVHwmB-wYZuDrCYSJ8qDE-W5g%3D%3D&xkcb=SoAf67M39wuq0DRkRB0FbzkdCdPP&fccid=d723225da214c842&vjs=3
Business Engineer,Meta,,https://br.indeed.com/rc/clk?jk=209f7cb97883aa26&bb=DwoUoxpak68a3seARgJwFqqJmyn_bf4yrKRQ2dp9okyMlEphJ1sWRDFhkx23sKu3Tyj6Nqg9ZI4PPjsYqFmMB6_9y0O4SbRvMI6HhGaoqDCPgmm_don6UQ%3D%3D&xkcb=SoC367M39wuqXHwrGx0KbzkdCdPP&fccid=ba07516c418dda52&vjs=3
"Graduate 2024 Data Scientist, Brazil",Uber,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=37e710ba7a232648&bb=DwoUoxpak68a3seARgJwFhJ9JZmLt51Jb1RKEaAUgnIKFwpatDIXxQe8tLNh8bDjpxjyo7Mro_3KeBBDbSWT7-QXo73PFx7p4g-ahsvGACn_GHqpmpryHJ0S4fT4xL5H&xkcb=SoAq67M39wuqXHwrGx0JbzkdCdPP&fccid=f766f8bfbc3effb7&vjs=3
Engenheiro DevOps / SRE - PL,V8.TECH,Home Office,https://br.indeed.com/rc/clk?jk=ffa6eb47843dc34b&bb=DwoUoxpak68a3seARgJwFt0DiIVQPLSdeYVNSncU0Zmo0xEQFX4M6vqMEdTcGVeZWq94TMRiAKEQqv3r9nGIK5lAHY8zz2tPwCYFmg3-JQlW_phwtX6Gw7Btr2KAKReD&xkcb=SoCe67M39wuqXHwrGx0IbzkdCdPP&fccid=c9f5b9b19a5c6639&vjs=3
Especialista em Ciência de Dados,Bemobi,Home Office,https://br.indeed.com/rc/clk?jk=919179c52aa0f30c&bb=DwoUoxpak68a3seARgJwFu_tEBn0VLRf1ccRQzKDotZta2c_cGof-JcR1fR9lZADVyFtBns9D1hGIZJO5pCZSYpJeFe6uJZeYEHAWXY0S9msLTzNpEOql_0zv9fgp_eH&xkcb=SoAQ67M39wuqXHwrGx0PbzkdCdPP&fccid=a87550975560bb8d&vjs=3
4220 - analista de sistemas ii,Netvagas,Home Office,https://br.indeed.com/rc/clk?jk=0e5950edb2caa2d9&bb=DwoUoxpak68a3seARgJwFnpOFOBeUlGGQFQtwU9OaNQRG0KpDn03jDC9VMut-kbNIjUxlXcFRhXbx1ZYLzTGmt0XGy_E2AtpTn82F1C2vvzuyoEsD5lvLGKy0qARBLhS&xkcb=SoCk67M39wuqXHwrGx0ObzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Analista de Sistemas,GESTAO OPME LTDA,,https://br.indeed.com/rc/clk?jk=4b33228f8914c5c4&bb=DwoUoxpak68a3seARgJwFsVbGoIQH0CFvQdeVbMzA9Bz5FJGeSGEh5Onvsjs2xALB5UFU5xag-aARJVXz4yq94Qp8HscWmFCM1KSfGKXcwEGUJGS37qs2G-k3vJCei8E&xkcb=SoA567M39wuqXHwrGx0NbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Estagiário em Produtos e TI | Vitória (ES),VENNX TECNOLOGIA E SERVICOS PROFISSIONAIS LTDA,Anunciada há 18 dias,https://br.indeed.com/rc/clk?jk=019e658c3d780dc7&bb=DwoUoxpak68a3seARgJwFjOfnzb3z3wH9keWJCYEI0eOe8rf6XtuzQ3b7U-6fXYA7G8dW3PL9UxHkU2AtR5SkkXXBGrygTh126J1LnExzRQ_tsSNzpqUX77-KHsECpP9&xkcb=SoCN67M39wuqXHwrGx0MbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Analista Contabil Junior,XP,,https://br.indeed.com/rc/clk?jk=a6b77128d595e553&bb=DwoUoxpak68a3seARgJwFmDN1y8g72JY5msd3f2FTRYlFRTQisiNcQGwn57n2Xw99EZLqLGiKM6340CI5WxSp0fkKUVF8uTwGV2NtIQLx50-lUYPGRt88qV4MrtVOU6b&xkcb=SoBk67M39wuqXHwrGx0DbzkdCdPP&fccid=53fac3ef8e00e16f&vjs=3
Coordenador de Brand Intelligence,BrandMonitor,Home Office,https://br.indeed.com/rc/clk?jk=5e47e15a04437c38&bb=DwoUoxpak68a3seARgJwFo9-h85oDdgavmIOK4KDBehC2d14w7KHITb_1CCHgk3fvCiMsBd-tDcWhepWCBp1vlQUxZNzefX5ueNv8cQOdNLEToCrMWNax2MiT3Y_uzB8&xkcb=SoDQ67M39wuqXHwrGx0CbzkdCdPP&fccid=2215c191198f2d32&vjs=3
Trainee em Engenharia de Soluções (Remoto),Dadosfera,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=deadec853c515807&bb=DwoUoxpak68a3seARgJwFoSTGor4TlhFOZ3uztKsFdq2qoWJwoVQGN-v80aLuvpqQB7-ygib1x0LU2UtSRjHzY0SzspmEToo2cmQ5rRlOzXQa-OxT9_E659wZUpB-uLp&xkcb=SoBN67M39wuqXHwrGx0BbzkdCdPP&fccid=902a286d3fc8fe48&vjs=3
Analista de TI,MIRANTE TECNOLOGIA,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4a30395bd2a7c8ae&bb=DwoUoxpak68a3seARgJwFqqJmyn_bf4yQddhd5tiZBo3zLBvdcNZA1gNaDCgX07Saq8XZ5c3WrFnhsmEVuorpRvRv79BEt9i9zIYcTKHp8dFHdq5lxfb_vZoLlRdXqUn&xkcb=SoD567M39wuqXHwrGx0AbzkdCdPP&fccid=13ee8acb31b41180&vjs=3
Estágio de Desenvolvimento de Firmware,Diel Energia,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=4733a9cc57b8e99a&bb=DwoUoxpak68a3seARgJwFmkJ2ZR6Mfc4tploW1gMPmMKx2XErIvTWh-j8dl4bF5ZgIj-vhSLf_dBvxPsQ_PexcfZUrh_X9Vj-R6BpP3cpboRTKEAyIIhQHJL8KesPetY&xkcb=SoB367M39wuqXHwrGx0HbzkdCdPP&fccid=f0af3a8aae587c2d&vjs=3
Applied ai researcher,Netvagas,Home Office,https://br.indeed.com/rc/clk?jk=c0742d353345539c&bb=DwoUoxpak68a3seARgJwFo9-h85oDdga0ghueMHSs0g3IP1BUUtwPrTw1vvLFMefujw9_3a6zsaXPzL0xv2adWQ6GKE9aiOp2CF5XfkuTbF4JxHIKnm2ZyZ5i3eg2GlE&xkcb=SoDD67M39wuqXHwrGx0GbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Infrastructure engineer,Netvagas,Home Office,https://br.indeed.com/rc/clk?jk=899142f6620b25aa&bb=DwoUoxpak68a3seARgJwFqqJmyn_bf4yyht7ZQIi0DDbM-lWB2yfW3lCuE3zclvVVOK_mA6MM1VxO864AVLh6-g-br9YsRX6VFt6JYb6y95So2dmPs60nHkiy0MDDUrr&xkcb=SoBe67M39wuqXHwrGx0FbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Analista de Testes Funcionais SR,Quality Digital,Home Office,https://br.indeed.com/rc/clk?jk=96cf7c7299be7764&bb=DwoUoxpak68a3seARgJwFrsugPqFZCHYvuOHyUqCOGAnnZBMRrqfXEPOKT2PcxNaLK8e21yqFuPy8-bzjVkXDDIXo7GOO_4oTLFw1GEmOBH8sBEUt9IJPLxHR1imIF3v&xkcb=SoDq67M39wuqXHwrGx0EbzkdCdPP&fccid=48c1a2fcc0b3c7f4&vjs=3
Desenvolvedor de Firmware,KRYPTUS,,https://br.indeed.com/rc/clk?jk=77af469dbfa16811&bb=bjCA2Th6sgGxClVZ-HEb-UwoPmg1J636vopcprNV22K-eg3R3lLj1oH6G1SWjCXh3XjIFqDyUv2UgO9zrLEs7mPfU8SBEsEIInS3KgbydHf0i9r_OteOI2Ei6Edp2l24&xkcb=SoDB67M39wupWcR-mp0LbzkdCdPP&fccid=55d431a88bf4eb2b&vjs=3
Jr Software Engineer,Trimble,Anunciada há 11 dias,https://br.indeed.com/rc/clk?jk=ee6119ce4107b00e&bb=bjCA2Th6sgGxClVZ-HEb-QFt6R6jn6FD0hkc61Zaf7HOAQMU8x8fPcJ2QCNITK0k7hJH6NiU_8cUPeAXSF5itgcxKSoMwWxYMnjeYH1ROsJLTEzGspuGXw%3D%3D&xkcb=SoB167M39wupWcR-mp0KbzkdCdPP&fccid=41ffc18dec1f58bf&vjs=3
00112/2024 - Bolsista Pesquisador - Otimização,FIESC,Anunciada há mais de 30 dias,https://br.indeed.com/rc/clk?jk=323324ad300c6dd2&bb=bjCA2Th6sgGxClVZ-HEb-Ypa3JuhJg2niRs10av9IsD-NJpkCmy7BPXLbVr_ALRImJLS4WURbsLe7IhkMKF9YVopcpnqNNxIAQJRFcdnxcurrYklTGpdXUlnOMUsFW6i&xkcb=SoDo67M39wupWcR-mp0JbzkdCdPP&fccid=98367ac53b609963&vjs=3
Pessoa Desenvolvedora II,ANDRITZ AG,,https://br.indeed.com/rc/clk?jk=ee719de556be546a&bb=bjCA2Th6sgGxClVZ-HEb-U-87qmKoR5XkHeb_FtTKQszZb5vk-ogaqeTF0nzoK3oPtORh_kCEb1O4xXx03HCD_LObLhAWESN3msggoX_09v4BMhi_G_jmA92xpXnyQl3&xkcb=SoBc67M39wupWcR-mp0IbzkdCdPP&fccid=31dc3ff412a8dc30&vjs=3
[Monks] Technology Analyst em Data Science,Monks,Home Office,https://br.indeed.com/rc/clk?jk=9f64831b960bad92&bb=bjCA2Th6sgGxClVZ-HEb-aZfzYNHgfCgUcMPqVXpDXplhD_0Oas6koKs6jHcRHwpnQJcjxE3XqdlizN6gRnM4rkfIVFXCPcdRJB5N0eZv1aQfjxbEz4fMatYwcwFWu4C&xkcb=SoDS67M39wupWcR-mp0PbzkdCdPP&fccid=a1b1d51bb95ac55c&vjs=3
15914-Analista Desenvolvedor Web,GLOBAL HITSS,,https://br.indeed.com/rc/clk?jk=9d204e7ca0767eb0&bb=bjCA2Th6sgGxClVZ-HEb-ZoYd0UCsxxrGWehMrBeOXWYJkh_1LAjCnobVeJX6JF51RhzWWQIlO-PunhY_L3OOmdFHO-QB2w-97ltSrMZUTzgYPtbloGBU4p-uNRSogw3&xkcb=SoBm67M39wupWcR-mp0ObzkdCdPP&fccid=c24117b06f969a80&vjs=3
Cientista de Dados - Vaga afirmativa para Mulheres e/ou Pessoas Pretas/Pardas e/ou PCD,Ambev Tech,Home Office,https://br.indeed.com/rc/clk?jk=1e06507de6d2b150&bb=bjCA2Th6sgGxClVZ-HEb-XH2k1Dyj_9EMWutONQzaG9vxFl42ekCGUm-SuyqjdE0FH5vMxAN5y-VNeNcMi7-Wma36i-L4EXYx-Il6LVs7qPEyMyWMiWwWCT4AliQMidd&xkcb=SoD767M39wupWcR-mp0NbzkdCdPP&fccid=659e51f3cf9c394c&vjs=3
Senior Data Scientist,Xometry Inc,,https://br.indeed.com/rc/clk?jk=c1404dc12fda7be5&bb=bjCA2Th6sgGxClVZ-HEb-UFqBe3-Zj9jct8XZjYFJMZSaXWVR2bXqYOtn66_EVIh3yuOIfVexNB8IwGA3ZNltiokJSyQHbB2iNdPq7tM1NBStLe8Kpvy3GVXsSR7l6mY&xkcb=SoBP67M39wupWcR-mp0MbzkdCdPP&fccid=5b7c51fa0a062333&vjs=3
Especialista de Planejamento I,AMERICANAS S.A.,Anunciada há 11 dias,https://br.indeed.com/rc/clk?jk=ae557d62ad6dfe38&bb=bjCA2Th6sgGxClVZ-HEb-RkZKnminlSXvYsOafrEIATEgih5ixigHcJDTIRdZ6tQU_T5LAtDukRiqy6ZXgtcBYwStj8nOIT8q2ZObP3bgBEpZhV1W1MmPoEn1fHCDXwN&xkcb=SoCm67M39wupWcR-mp0DbzkdCdPP&fccid=cb13eb514f07d230&vjs=3
